coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
BakerySwap,BAKE,0.548429,0.027,0.033,-0.005,11013168,104901896,2022-03-16
Tribe,TRIBE,0.543192,0.011,0.01,0.029,8017450,246535822,2022-03-16
STEPN,GMT,0.534126,0.073,0.573,2.935,1013704817,318571623,2022-03-16
Bitcoin Diamond,BCD,0.515751,0.008,0.025,-0.016,823683,96592411,2022-03-16
0x,ZRX,0.509791,0.025,0.035,0.028,29309302,427933388,2022-03-16
Power Ledger,POWR,0.503878,0.01,0.005,-0.023,32211271,216689443,2022-03-16
Ontology,ONT,0.499727,0.021,0.029,-0.011,30824913,433758425,2022-03-16
WOO Network,WOO,0.492556,0.019,0.087,0.124,60339780,467152311,2022-03-16
Function X,FX,0.488809,0.019,0.005,-0.005,2065790,228173732,2022-03-16
Wrapped Centrifuge,WCFG,0.486023,0.004,0.021,-0.008,1702240,97035126,2022-03-16
Hathor,HTR,0.479597,0.052,0.047,0.025,3389005,108345431,2022-03-16
Wanchain,WAN,0.473501,0.018,0.01,-0.024,7300330,91110234,2022-03-16
Ocean Protocol,OCEAN,0.469383,0.028,0.051,0.074,22022827,202627972,2022-03-16
Syscoin,SYS,0.468329,0.023,-0.031,-0.074,12673226,296323527,2022-03-16
Golem,GLM,0.465346,0.016,0.022,-0.085,15905189,464458665,2022-03-16
SuperRare,RARE,0.458127,0.018,0.029,0.029,16421385,66264262,2022-03-16
The Graph,GRT,0.440816,0.003,0.041,0.315,388652958,2731591470,2022-03-16
