coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Escoin Token,ELG,3.31,0.005,-0.015,0.017,724098,228752259,2022-03-17
Tenset,10SET,3.29,0.001,0.003,0.345,2346397,290187601,2022-03-17
Celsius Network,CEL,3.27,0.001,0.03,0.056,3708538,1388056538,2022-03-17
Ergo,ERG,3.26,-0.006,0.002,0.004,1480738,170208459,2022-03-17
The Sandbox,SAND,3.21,0.004,0.042,0.083,1054426538,3671953183,2022-03-17
Sushi,SUSHI,3.21,0.012,0.028,0.009,138705772,618121984,2022-03-17
Kava,KAVA,3.21,0.001,0.013,-0.009,15300789,517309409,2022-03-17
CRYPTO20,C20,3.21,0.005,0.094,-0.014,244162,106817045,2022-03-17
Tezos,XTZ,3.1,0.003,0.017,-0.027,74557601,2726280216,2022-03-17
Orion Protocol,ORN,3.06,0.003,-0.012,-0.074,9655123,104853664,2022-03-17
Rai Reflex Index,RAI,3.04,0.003,0.003,0.002,1057135,77616933,2022-03-17
Kyber Network Crystal Legacy,KNCL,3.03,0.015,-0.011,-0.032,82195466,187322633,2022-03-17
Celo,CELO,3.01,-0.025,0.195,0.044,746494395,1293158139,2022-03-17
Kyber Network Crystal,KNC,3.01,0.01,-0.018,-0.043,19917604,308453415,2022-03-17
Lido DAO,LDO,2.9,0.016,-0.024,0.229,6548070,320418126,2022-03-17
Theta Network,THETA,2.87,0.003,0.019,-0.065,102779208,2860648763,2022-03-17
Anchor Protocol,ANC,2.85,-0.005,-0.083,-0.335,77859396,754479150,2022-03-17
Zipmex Token,ZMT,2.84,-0.002,0.018,0.003,14507743,252612673,2022-03-17
Magic,MAGIC,2.66,-0.002,-0.045,-0.054,4586490,135701244,2022-03-17
Yield Guild Games,YGG,2.65,0.022,0.096,-0.013,32498566,232020727,2022-03-17
Qredo,QRDO,2.61,0,0.028,0.024,16725771,131117652,2022-03-17
Raydium,RAY,2.52,0.006,0.004,-0.01,20578926,229551472,2022-03-17
Render Token,RNDR,2.46,0.001,0.011,-0.073,19940200,568806275,2022-03-17
Decentraland,MANA,2.45,0.002,0.01,-0.019,385577318,3706590158,2022-03-17
Nano,XNO,2.43,0.025,0.101,0.393,272633201,325248112,2022-03-17
Synapse,SYN,2.42,0.004,0.111,-0.011,8785527,425904952,2022-03-17
Moonbeam,GLMR,2.41,-0.004,0.014,-0.08,44775987,485893979,2022-03-17
Bancor Network Token,BNT,2.32,0.005,0.013,0.011,18087546,595471450,2022-03-17
NEXO,NEXO,2.21,0.006,0.014,0.02,5428058,1240018250,2022-03-17
DAO Maker,DAO,2.19,0.005,0.005,-0.051,2620710,198134048,2022-03-17
Curve DAO Token,CRV,2.13,-0.002,0.056,-0.011,162949799,838186885,2022-03-17
Merit Circle,MC,2.12,-0.001,0.015,0.035,9053682,149412537,2022-03-17
Mobox,MBOX,2.11,-0.004,0.033,0.056,42594303,261388946,2022-03-17
Convex CRV,CVXCRV,2.1,0.022,0.083,0.022,284039,394323956,2022-03-17
Lisk,LSK,2.1,-0.004,0.03,-0.005,8942754,304232009,2022-03-17
EOS,EOS,2.09,0.006,0.012,0.009,228300347,2061422334,2022-03-17
Mina Protocol,MINA,2.02,-0.013,0.118,0.068,132755480,851729245,2022-03-17
Aavegotchi,GHST,1.94,-0.001,0,-0.008,28955029,117650490,2022-03-17
Ronin,RON,1.93,0,0.036,-0.039,2336649,285584777,2022-03-17
Serum,SRM,1.9,0.005,0.018,-0.016,28934537,253353070,2022-03-17
MX Token,MX,1.87,-0.001,0.006,-0.005,374184,186909022,2022-03-17
Kava Swap,SWP,1.82,-0.012,0.008,0,1981564,109049036,2022-03-17
Astroport,ASTRO,1.81,-0.002,-0.104,0.095,8759702,227045274,2022-03-17
iExec RLC,RLC,1.81,0.004,-0.001,0.01,4304190,129744853,2022-03-17
Railgun,RAIL,1.81,-0.001,0.021,-0.175,471794,104202720,2022-03-17
Dawn Protocol,DAWN,1.72,0.001,0.014,0.006,4063485,125035795,2022-03-17
Mirror Protocol,MIR,1.71,0.005,0.004,-0.169,49984848,248849118,2022-03-17
Netvrk,NTVRK,1.71,-0.007,0.116,-0.029,2603788,70480323,2022-03-17
Bonfida,FIDA,1.65,-0.002,0.025,-0.083,7357829,87734475,2022-03-17
ChainX,PCX,1.64,0.006,-0.015,0.033,523787,68530128,2022-03-17
GXChain,GXC,1.62,-0.006,-0.01,-0.046,11044304,122034911,2022-03-17
Immutable X,IMX,1.59,0.001,0.01,0.001,74989985,374143811,2022-03-17
GuildFi,GF,1.58,0.001,0.031,0.019,4047040,68575496,2022-03-17
Metal,MTL,1.52,0.004,-0.001,-0.044,10399052,98146821,2022-03-17
1inch,1INCH,1.49,0.008,-0.003,0.087,64145152,617505356,2022-03-17
Polkastarter,POLS,1.47,0.018,-0.042,0.198,34461134,129790575,2022-03-17
Aave [OLD],LEND,1.47,0.002,0.079,0.072,11843.62,75160944,2022-03-17
Polygon,MATIC,1.46,0.009,0.012,-0.031,584477121,10031137796,2022-03-17
Pirate Chain,ARRR,1.44,-0.003,0.003,0.221,1185789,275717440,2022-03-17
Flux,FLUX,1.43,0.002,0.003,0.044,11148974,328526106,2022-03-17
Propy,PRO,1.43,-0.005,0.087,-0.131,1092863,82507865,2022-03-17
Enjin Coin,ENJ,1.42,0.004,0.017,0.021,113142084,1330338268,2022-03-17
SXP,SXP,1.41,0.005,0.05,0.045,68376375,273381975,2022-03-17
Yoshi.exchange,YOSHI,1.4,0.001,0.05,0.28,1673418,183581718,2022-03-17
Hoo Token,HOO,1.39,-0.004,0.035,0.059,8832185,114432549,2022-03-17
Coin98,C98,1.37,0.003,0.023,0.036,32845038,254083272,2022-03-17
Unibright,UBT,1.34,0,0.135,0.74,1513662,201738743,2022-03-17
Travala.com,AVA,1.32,0.002,-0.01,0.003,3591714,68291858,2022-03-17
Biconomy,BICO,1.29,-0.006,-0.018,0,30433864,147807938,2022-03-17
